"Country","Factory_Name","Address","City","Code","Province","Factory_Number","Product_Type","Total_Workers","Female_Workers","Male_Workers","Migrant_Workers","Parent_Organization_Name","Line_Workers","Factory_Type","Supplier_Group","Corporation_Brand","Region"
"China","Dalian Vent d'Est Lavado & Garments Co Ltd","Shenlu Vallige,  Paotai Town Puwan New District","Dalian","116001","Liaoning","86041182751133","Apparel","375","258","117","","Vent d'Est Garments.Co.,Ltd","","","","",""
"China","Dandong SLT Garment Industrial Co., Ltd","Qianyang Economic Development Zone, Dandong City, Liaoning Province  ","Dan Dong","118301","Liaoning","4157817268","Apparel","1403","1120","210","0","Yuen Thai Industrial Company Limited","","","","",""
"China","Dong Guan Pou Chen Footwear Company Limited","Yue Yuen Industrial Park Shang Jiang Cheng Gaobu Town","Dongguan","523287","Guangdong","860769813380032000","Footwear","4449","2981","1468","","Idea (Macao Commercial Offshore) Limited","","","","",""
"China","Dong Guan Yue Yuen Footwear Co Ltd (YYII-YC1)","Yue Yuen Industrial Zone Shaotan Gaobu Town","Dongguan","523286","Guangdong","8676988871277","Footwear","241","51","190","","Idea (Macao Commercial Offshore) Limited","","","","",""
"China","Dongguan Bacui Knitwear Co. Ltd","No.5, Pingding Road Changping Town ","Dongguan City","523579","Guangdong","86738879222","Apparel","770","539","231","","Kent Knitters Ltd.","","","","",""
"China","Dongguan Crystal Knitting and Garment Co., Ltd","No.108, Changping Duan,  Dongshen Road,  Changping Town,","Dongguan City","523570","Guangdong","8676989082288","Apparel","3999","2199","1800","0","CRYSTAL SL GLOBAL PTE LTD","","","","",""
"China","Dongguan Cypress Sporting Goods Co., Ltd.","No. 3 Central East Road Baoanwei Industrial Zone Goabu","Dongguan","523926","Guangdong","0","Accessories","180","116","226","","","","","","",""
"China","Dongguan Ye Ji Industrial Co.,Ltd.","Room 101, No.3 Building, No.112, Chang Huang Road,Chang Ping Town  ","Dongguan","523580","Guangdong","86076989081039","Apparel","840","317","523","802","CRYSTAL SL GLOBAL PTE LTD","","","","",""
"China","DONGGUAN ZERONG BAG LTD. ","No.425, Jinxing Rd, Liaobu Town, Dongguan, Guangdong, China.  ","Dongguan","523402","Guangdong","8676983228386","Accessories","612","345","281","0","Dongguan Zerong Bag Ltd","","","","",""
"China","Dongguan ZhengYong Leather Accessories Co., Ltd","Room 101, No.10 Shatian street of Wusha Changan Town","Dongguan","523850","Guangdong","868676985645623Ext858","Accessories","81","35","46","","","","","","",""
"China","Evervan Chang Ning Footwear Co.,Ltd. (EVL)","Taizi Industry zone Qingyang road north,Qingyang new zone ","Changning City","421500","Hunan","7347652899","Footwear","1505","1275","230","0","Evervan International Limited","","","","",""
